date,rainfall_mm,Q_in_m3day,C_in_mgL,C_reservoir_mgL
2024-07-25,0.0,104958.0,34.09,30.25
2024-07-26,0.0,104311.0,35.12,30.16
2024-07-27,0.0,98631.0,37.27,30.09
2024-07-28,1.91,109058.0,39.53,29.84
2024-07-29,6.04,113537.0,40.92,29.8
2024-07-30,30.67,200394.0,43.0,29.9
2024-07-31,0.0,201293.0,42.09,30.23
2024-08-01,0.0,178707.0,43.1,30.28
2024-08-02,0.58,93513.0,40.19,29.88
2024-08-03,0.0,104899.0,40.58,29.83
2024-08-04,1.13,110194.0,35.78,30.2
2024-08-05,0.2,103335.0,35.05,30.28
2024-08-06,3.59,103340.0,38.74,30.12
2024-08-07,13.96,150873.0,40.14,30.21
2024-08-08,22.96,199737.0,43.99,30.15
2024-08-09,2.73,207276.0,44.0,30.01
2024-08-10,1.83,168945.0,43.69,29.99
2024-08-11,0.0,106352.0,43.99,29.97
2024-08-12,0.39,103715.0,41.27,29.66
2024-08-13,0.07,100328.0,39.54,29.45
2024-08-14,0.5,99366.0,37.1,29.41
2024-08-15,0.0,104479.0,39.18,29.31
2024-08-16,0.0,99113.0,39.89,29.33
2024-08-17,0.0,104901.0,37.28,29.11
2024-08-18,0.34,102307.0,38.87,29.18
2024-08-19,0.83,99615.0,37.67,28.96
2024-08-20,0.0,98773.0,37.98,29.16
2024-08-21,0.0,93965.0,36.9,28.86
2024-08-22,1.69,105949.0,42.0,28.67
2024-08-23,78.22,311307.0,51.07,28.94
2024-08-24,0.0,301219.0,50.03,29.37
2024-08-25,0.0,305905.0,53.02,29.63
2024-08-26,0.0,95495.0,48.82,29.68
2024-08-27,0.0,107878.0,55.18,29.69
2024-08-28,0.0,91486.0,39.4,29.49
2024-08-29,2.2,98651.0,40.75,29.38
2024-08-30,0.0,111407.0,39.56,29.16
2024-08-31,1.36,116280.0,41.39,28.95
2024-09-01,0.0,99913.0,42.43,28.98
2024-09-02,19.02,151192.0,42.94,28.83
2024-09-03,0.27,154523.0,46.61,28.9
2024-09-04,1.82,144669.0,43.87,28.72
2024-09-05,24.52,161678.0,46.83,28.8
2024-09-06,0.0,168852.0,44.58,28.76
2024-09-07,46.59,297379.0,50.66,29.16
2024-09-08,0.0,222058.0,49.64,29.31
2024-09-09,0.0,224741.0,48.58,29.6
2024-09-10,1.32,109177.0,45.57,29.47
2024-09-11,0.03,114135.0,52.57,29.48
2024-09-12,4.33,112262.0,41.74,29.31
2024-09-13,0.0,111554.0,39.45,29.21
2024-09-14,1.14,123705.0,41.2,29.16
2024-09-15,0.0,95438.0,42.43,29.02
2024-09-16,0.17,108642.0,43.74,28.81
2024-09-17,1.16,98458.0,43.47,28.57
2024-09-18,0.0,104062.0,43.8,28.2
2024-09-19,1.38,105561.0,41.27,28.01
2024-09-20,3.92,109339.0,43.79,28.09
2024-09-21,0.42,110343.0,41.46,27.83
2024-09-22,1.53,117050.0,42.09,27.61
2024-09-23,11.88,141877.0,42.99,27.89
2024-09-24,0.98,137735.0,42.46,27.8
2024-09-25,0.4,135703.0,46.6,27.87
2024-09-26,0.0,106528.0,45.86,27.95
2024-09-27,2.31,102373.0,46.58,28.03
2024-09-28,1.23,113144.0,43.47,27.79
2024-09-29,0.0,113542.0,44.87,27.74
2024-09-30,1.68,120757.0,39.98,27.49
2024-10-01,0.65,104331.0,45.34,27.84
2024-10-02,0.78,106008.0,43.81,27.58
2024-10-03,2.53,114424.0,44.89,27.42
2024-10-04,0.0,112930.0,44.41,27.25
2024-10-05,3.28,112830.0,41.89,27.01
2024-10-06,0.0,106742.0,40.79,27.19
2024-10-07,0.81,113633.0,42.37,27.55
2024-10-08,4.74,110669.0,45.19,27.46
2024-10-09,3.59,122338.0,45.86,27.27
2024-10-10,2.1,128263.0,41.59,26.93
2024-10-11,0.59,121727.0,42.42,26.89
2024-10-12,1.25,107486.0,42.96,26.83
2024-10-13,2.21,101590.0,43.36,26.71
2024-10-14,19.67,152101.0,43.25,26.77
2024-10-15,2.97,159958.0,43.2,26.86
2024-10-16,2.2,159670.0,44.55,26.94
2024-10-17,1.97,118277.0,46.41,26.9
2024-10-18,0.18,105680.0,43.58,26.71
2024-10-19,21.24,158895.0,45.85,26.85
2024-10-20,3.82,163458.0,48.24,26.91
2024-10-21,0.45,165826.0,43.24,27.07
2024-10-22,2.27,124031.0,45.4,27.2
2024-10-23,1.37,114198.0,47.93,26.99
2024-10-24,2.82,117297.0,42.76,26.76
2024-10-25,2.12,114525.0,42.17,26.64
2024-10-26,25.95,180214.0,48.62,26.55
2024-10-27,3.57,186011.0,45.75,26.73
2024-10-28,18.7,231493.0,50.56,26.91
2024-10-29,3.92,165270.0,49.25,27.13
2024-10-30,1.8,165278.0,47.57,27.23
2024-10-31,2.15,110810.0,46.26,27.26
2024-11-01,3.54,121011.0,45.83,27.44
2024-11-02,2.38,125307.0,45.17,27.51
2024-11-03,4.51,126389.0,42.0,27.52
2024-11-04,2.06,132931.0,43.1,27.75
2024-11-05,2.34,119346.0,42.81,27.76
2024-11-06,2.34,119054.0,44.08,27.7
2024-11-07,2.52,119034.0,40.53,27.56
2024-11-08,5.07,125994.0,44.56,27.67
2024-11-09,4.42,131474.0,43.63,27.86
2024-11-10,6.09,142092.0,40.39,27.86
2024-11-11,6.98,150878.0,45.88,28.08
2024-11-12,23.08,203292.0,50.28,27.88
2024-11-13,3.78,190239.0,47.54,27.94
2024-11-14,1.96,180955.0,47.98,27.99
2024-11-15,2.61,118785.0,44.75,27.88
2024-11-16,2.88,123722.0,40.65,28.23
2024-11-17,2.29,116956.0,37.67,28.19
2024-11-18,2.35,125519.0,41.57,28.12
2024-11-19,3.76,133456.0,39.97,28.12
2024-11-20,2.2,121545.0,39.16,27.8
2024-11-21,5.34,119159.0,41.04,27.67
2024-11-22,2.74,124674.0,42.33,27.82
2024-11-23,8.38,150064.0,38.8,27.73
2024-11-24,3.54,141877.0,40.66,27.61
2024-11-25,4.37,144695.0,44.72,27.82
2024-11-26,2.37,132450.0,39.08,28.02
2024-11-27,6.92,138832.0,43.36,28.1
2024-11-28,6.08,147058.0,40.26,28.04
2024-11-29,4.89,152303.0,42.37,28.02
2024-11-30,2.47,143466.0,43.14,27.91
2024-12-01,4.85,134376.0,42.62,27.77
2024-12-02,2.9,131792.0,42.36,27.61
2024-12-03,6.82,137319.0,38.23,27.51
2024-12-04,5.88,138591.0,42.77,27.37
2024-12-05,4.85,155345.0,39.03,27.14
2024-12-06,1.1,132639.0,40.7,27.17
2024-12-07,3.32,128749.0,40.65,27.21
2024-12-08,5.87,128046.0,40.9,27.46
2024-12-09,6.7,139420.0,40.61,27.36
2024-12-10,6.58,151103.0,38.36,27.41
2024-12-11,2.57,149429.0,37.44,27.46
2024-12-12,5.45,141695.0,42.05,27.43
2024-12-13,6.56,130298.0,40.68,27.54
2024-12-14,17.48,177556.0,43.82,27.7
2024-12-15,5.1,186607.0,41.18,27.79
2024-12-16,5.55,173957.0,38.74,27.78
2024-12-17,4.73,132009.0,43.32,27.73
2024-12-18,20.38,191233.0,42.23,27.57
2024-12-19,4.76,183063.0,42.06,27.5
2024-12-20,45.76,288706.0,44.89,27.55
2024-12-21,5.09,246439.0,49.35,27.52
2024-12-22,4.5,253022.0,44.22,27.7
2024-12-23,4.72,135462.0,43.36,27.88
2024-12-24,5.35,144600.0,44.26,27.76
2024-12-25,6.11,145842.0,37.05,27.8
2024-12-26,5.02,145152.0,39.83,27.65
2024-12-27,4.89,143413.0,42.38,27.62
2024-12-28,5.67,140642.0,38.24,27.51
2024-12-29,25.61,201661.0,42.39,27.66
2024-12-30,47.21,304967.0,40.99,27.7
2024-12-31,5.61,301025.0,45.6,28.01
2025-01-01,5.69,259100.0,45.15,28.1
2025-01-02,7.1,152225.0,44.31,28.02
2025-01-03,2.75,143855.0,45.37,27.85
2025-01-04,11.6,159251.0,38.28,27.9
2025-01-05,6.14,153044.0,38.64,28.04
2025-01-06,5.74,166542.0,38.25,28.1
2025-01-07,6.02,147498.0,35.04,28.43
2025-01-08,5.09,142509.0,36.89,28.63
2025-01-09,6.8,146227.0,40.5,28.59
2025-01-10,7.22,161089.0,34.49,28.54
2025-01-11,6.57,146238.0,37.27,28.61
2025-01-12,5.47,153848.0,37.94,28.48
2025-01-13,2.71,130921.0,41.94,28.65
2025-01-14,7.04,140039.0,40.02,28.7
2025-01-15,16.48,167790.0,38.48,28.76
2025-01-16,6.88,170651.0,42.24,28.89
2025-01-17,4.61,176528.0,38.05,29.17
2025-01-18,6.95,147254.0,42.05,29.2
2025-01-19,7.24,139610.0,37.34,29.17
2025-01-20,8.29,164139.0,41.22,29.41
2025-01-21,24.15,212980.0,40.34,29.61
2025-01-22,5.63,208975.0,39.21,29.61
2025-01-23,7.1,200133.0,40.85,29.66
2025-01-24,6.07,150367.0,41.7,29.69
2025-01-25,4.31,153260.0,39.68,29.75
2025-01-26,6.61,153740.0,39.68,29.55
2025-01-27,6.86,153112.0,37.55,29.32
2025-01-28,6.13,147583.0,39.84,29.18
2025-01-29,6.33,152535.0,39.51,29.04
2025-01-30,5.61,150387.0,38.66,28.95
2025-01-31,8.22,144706.0,38.1,29.04
2025-02-01,4.65,151616.0,39.02,29.01
2025-02-02,11.26,175696.0,40.43,29.07
2025-02-03,6.01,161643.0,43.41,28.91
2025-02-04,12.07,185614.0,41.94,28.88
2025-02-05,3.74,159103.0,41.48,28.98
2025-02-06,4.01,152498.0,45.63,29.1
2025-02-07,3.23,131192.0,39.52,28.97
2025-02-08,37.99,216547.0,43.29,29.07
2025-02-09,4.66,217530.0,42.84,29.47
2025-02-10,5.37,234383.0,39.61,29.54
2025-02-11,6.93,152079.0,41.09,29.44
2025-02-12,10.72,156435.0,41.87,29.43
2025-02-13,6.26,168606.0,40.37,29.46
2025-02-14,5.45,159393.0,38.82,29.44
2025-02-15,6.9,151317.0,39.63,29.44
2025-02-16,76.53,339310.0,49.88,29.44
2025-02-17,4.82,340294.0,48.72,29.51
2025-02-18,5.59,332250.0,46.59,29.68
2025-02-19,7.39,154509.0,45.81,29.68
2025-02-20,6.4,153210.0,49.36,29.63
2025-02-21,21.24,196511.0,42.0,29.65
2025-02-22,6.75,187522.0,37.47,29.68
2025-02-23,4.12,196413.0,39.88,29.85
2025-02-24,7.85,152262.0,40.89,29.84
2025-02-25,7.24,154782.0,42.22,29.91
2025-02-26,6.12,148499.0,40.67,29.83
2025-02-27,5.89,147223.0,39.31,29.91
2025-02-28,5.32,152405.0,40.06,29.97
2025-03-01,6.63,149010.0,38.87,30.1
2025-03-02,5.03,135694.0,37.13,30.18
2025-03-03,5.91,152026.0,37.93,30.27
2025-03-04,6.84,144676.0,38.6,30.24
2025-03-05,12.51,174412.0,39.36,30.3
2025-03-06,12.98,185771.0,36.42,30.47
2025-03-07,3.65,178737.0,39.23,30.39
2025-03-08,3.82,160416.0,39.89,30.3
2025-03-09,2.64,122456.0,38.71,30.3
2025-03-10,6.44,129427.0,38.05,30.34
2025-03-11,8.03,144649.0,38.93,30.21
2025-03-12,12.6,176319.0,36.86,30.21
2025-03-13,2.81,155840.0,35.65,30.19
2025-03-14,6.3,149547.0,38.65,29.85
2025-03-15,7.31,147920.0,40.97,29.82
2025-03-16,4.46,145183.0,42.39,29.8
2025-03-17,5.26,143456.0,39.7,29.77
2025-03-18,2.06,122122.0,35.11,29.95
2025-03-19,5.43,130609.0,37.48,29.74
2025-03-20,3.4,129004.0,37.99,29.6
2025-03-21,5.26,142218.0,37.92,29.2
2025-03-22,2.57,126087.0,38.33,29.1
2025-03-23,5.69,144341.0,35.85,29.03
2025-03-24,6.37,135610.0,37.92,28.94
2025-03-25,3.62,138405.0,38.66,29.1
2025-03-26,3.05,142459.0,39.21,29.22
2025-03-27,1.48,122775.0,35.81,29.21
2025-03-28,65.25,283295.0,43.88,29.28
2025-03-29,31.68,361636.0,42.2,29.62
2025-03-30,2.25,371252.0,46.2,29.85
2025-03-31,5.22,211738.0,46.66,29.8
2025-04-01,3.82,126020.0,45.95,29.54
2025-04-02,2.83,131436.0,40.83,29.46
2025-04-03,3.57,127709.0,37.01,29.55
2025-04-04,5.96,128048.0,33.05,29.86
2025-04-05,5.21,139049.0,38.0,29.86
2025-04-06,4.07,140682.0,35.74,29.72
2025-04-07,5.14,144175.0,38.85,29.54
2025-04-08,2.43,137079.0,35.17,29.6
2025-04-09,4.17,129666.0,37.58,29.31
2025-04-10,4.29,127974.0,36.85,29.37
2025-04-11,3.32,134745.0,37.93,29.48
2025-04-12,5.15,131122.0,37.57,29.53
2025-04-13,9.62,151194.0,37.68,29.49
2025-04-14,4.64,151338.0,35.17,29.56
2025-04-15,4.66,145603.0,35.33,29.57
2025-04-16,0.0,120012.0,36.72,29.43
2025-04-17,5.51,134356.0,37.92,29.69
2025-04-18,0.0,113922.0,35.56,29.6
2025-04-19,2.7,130116.0,37.8,29.69
2025-04-20,5.12,118283.0,36.04,29.3
2025-04-21,3.05,130442.0,35.04,29.46
2025-04-22,2.24,139720.0,36.02,29.67
2025-04-23,1.78,113586.0,37.24,29.64
2025-04-24,4.91,114353.0,37.7,29.69
2025-04-25,0.44,125467.0,40.25,29.75
2025-04-26,4.96,123380.0,35.39,29.63
2025-04-27,3.14,122672.0,36.68,29.68
2025-04-28,28.46,194557.0,40.88,29.6
2025-04-29,2.24,191567.0,39.66,29.54
2025-04-30,1.54,181212.0,38.84,29.73
2025-05-01,4.31,120680.0,36.67,29.85
2025-05-02,60.4,278905.0,45.61,29.88
2025-05-03,0.33,268394.0,41.11,29.87
2025-05-04,2.25,264443.0,39.81,29.86
2025-05-05,1.51,109184.0,41.67,29.94
2025-05-06,27.61,176530.0,43.96,29.83
2025-05-07,0.68,177363.0,40.06,29.91
2025-05-08,5.06,189528.0,40.66,30.05
2025-05-09,2.55,120103.0,37.69,30.01
2025-05-10,0.81,121087.0,38.89,30.14
2025-05-11,1.48,112810.0,32.56,30.04
2025-05-12,1.25,106149.0,35.36,29.97
2025-05-13,75.09,310963.0,45.55,29.98
2025-05-14,12.23,343346.0,47.56,30.34
2025-05-15,21.68,388329.0,46.99,30.47
2025-05-16,0.0,192846.0,50.34,30.59
2025-05-17,5.16,170377.0,45.68,30.62
2025-05-18,0.0,115595.0,37.21,30.42
2025-05-19,0.97,124181.0,39.77,30.31
2025-05-20,0.68,106954.0,39.18,30.48
2025-05-21,0.69,97391.0,36.91,30.46
2025-05-22,4.95,119150.0,35.82,30.27
2025-05-23,8.71,144443.0,32.55,30.29
2025-05-24,2.22,141251.0,33.05,30.24
2025-05-25,0.0,134130.0,37.27,30.74
2025-05-26,0.78,104555.0,36.31,30.73
2025-05-27,2.04,100080.0,34.47,30.62
2025-05-28,0.13,108561.0,35.79,30.79
2025-05-29,2.98,104949.0,35.98,30.47
2025-05-30,0.0,107102.0,37.64,30.44
2025-05-31,1.1,117323.0,36.07,30.7
2025-06-01,0.61,95002.0,38.08,30.63
2025-06-02,1.69,102652.0,35.83,30.32
2025-06-03,0.44,102118.0,35.28,30.22
2025-06-04,0.95,107871.0,37.76,30.39
2025-06-05,0.96,104410.0,33.66,30.4
2025-06-06,20.75,167394.0,43.67,30.3
2025-06-07,1.95,167855.0,38.83,30.2
2025-06-08,1.54,167122.0,38.98,30.13
2025-06-09,1.27,113449.0,39.32,30.15
2025-06-10,0.46,110698.0,41.97,30.33
2025-06-11,2.26,106333.0,37.59,30.44
2025-06-12,0.67,113320.0,32.65,30.46
2025-06-13,0.53,103656.0,38.55,30.22
2025-06-14,1.11,110317.0,35.05,29.98
2025-06-15,3.46,119497.0,36.31,30.03
2025-06-16,0.0,113217.0,33.28,29.78
2025-06-17,1.99,113648.0,37.06,29.71
2025-06-18,0.0,107316.0,34.65,29.71
2025-06-19,1.09,93923.0,36.17,29.49
2025-06-20,3.1,112684.0,35.37,29.3
2025-06-21,1.43,114427.0,39.97,29.26
2025-06-22,0.92,114286.0,39.97,29.31
2025-06-23,0.0,109816.0,36.12,29.43
2025-06-24,0.65,103822.0,36.12,29.48
2025-06-25,0.19,96553.0,34.91,29.44
2025-06-26,0.0,101547.0,37.71,29.29
2025-06-27,0.08,101068.0,34.76,29.08
2025-06-28,17.89,148504.0,36.75,28.99
2025-06-29,0.0,148739.0,39.49,29.06
2025-06-30,0.0,152916.0,36.45,29.1
2025-07-01,0.0,94570.0,37.48,28.74
2025-07-02,0.96,103451.0,34.52,28.58
2025-07-03,1.17,112147.0,37.11,28.73
2025-07-04,0.68,98831.0,39.7,28.71
2025-07-05,1.75,110508.0,37.5,28.46
2025-07-06,0.42,104668.0,39.06,28.78
2025-07-07,0.85,106204.0,34.46,28.74
2025-07-08,0.7,100716.0,36.6,28.75
2025-07-09,0.08,103509.0,34.21,28.77
2025-07-10,3.87,121620.0,35.93,28.69
2025-07-11,3.51,113580.0,38.34,28.55
2025-07-12,0.0,113828.0,36.93,28.84
2025-07-13,0.0,102840.0,33.86,28.94
2025-07-14,0.79,110733.0,34.19,29.03
2025-07-15,27.86,174088.0,36.98,29.12
2025-07-16,17.19,222114.0,42.41,29.05
2025-07-17,1.78,222871.0,45.82,29.33
2025-07-18,0.0,145859.0,44.47,29.21
2025-07-19,21.89,161948.0,40.54,29.27
2025-07-20,1.84,175587.0,44.1,29.06
2025-07-21,0.99,172890.0,41.25,28.78
2025-07-22,0.0,103280.0,36.13,28.79
2025-07-23,2.7,113065.0,39.0,28.64
2025-07-24,47.64,230073.0,44.95,28.43
2025-07-25,0.0,225358.0,43.71,28.6
2025-07-26,2.4,238540.0,40.22,28.99
2025-07-27,0.25,112868.0,44.16,29.19
2025-07-28,0.0,112288.0,38.42,29.12
2025-07-29,0.0,98312.0,36.6,29.07
2025-07-30,0.87,101496.0,39.51,29.17
2025-07-31,0.72,107986.0,37.14,29.3
2025-08-01,0.02,106253.0,36.16,29.21
2025-08-02,0.0,99998.0,39.02,29.18
